"Label","DataElementUId","CoCUid","DataSetUid","RMA Table Name","AccessDatabaseFile","AccessDBTable","AccessDBColumn","AccessColumnDescription","DataSETUID","Tab RMA DHIS2",
"VIH clients Tuberculeux depistes VIH","JcRQR832t4g","HllvX50cXC0",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIDEP_TUB","Nb de clients ayant été dépistés Tub","ToV2hqPjApV","Tableau 7",
"VIH nombre de femmes enceintes depistes VIH","LWi6dggEfBj","HllvX50cXC0",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIDEP_FE","Nb de clients ayant été dépistés FE","ToV2hqPjApV","Tableau 7",
"VIH Autres clients depistes VIH","SOy3aD5380e","HllvX50cXC0",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIDEP_AUTRES","Nb de clients ayant été dépistés Autres","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients ayants retires resultat par age","gf3h4vgvDsB","zHmpwMQOfXw",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIRES_INF15a","Nb de clients ayant retiré résultats <15 ans","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients ayants retires resultat par age","gf3h4vgvDsB","SW6oUfrCXJf",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIRES_1524a","Nb de clients ayant retiré résultats 15-24 ans","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients ayants retires resultat par age","gf3h4vgvDsB","fAg8tca9zBe",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIRES_2549a","Nb de clients ayant retiré résultats 25-49 ans","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients ayants retires resultat par age","gf3h4vgvDsB","voZw9xjfGCI",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIRES_5099a","Nb de clients ayant retiré résultats 50 ans et +","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients ayants retires resultat par sexe","h2sRchVUmU6","Dth2gBj2kEF",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIRES_SEX_M","Nb de clients ayant retiré résultats MSM","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients ayants retires resultat par sexe","h2sRchVUmU6","sw2ZKOSUaAr",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIRES_SEX_F","Nb de clients ayant retiré résultats FE","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients ayants retires resultat par groupe a risque","F5zB7yzJWqO","H5mdiVUSnHh",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIRES_GAR_TDS","Nb de clients ayant retiré résultats TDS","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients ayants retires resultat par groupe a risque","F5zB7yzJWqO","R57o8tE7qzj",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIRES_GAR_PIST","Nb de clients ayant retiré résultats Patient IST","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients ayants retires resultat par groupe a risque","F5zB7yzJWqO","CY3DclCwaj6",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIRES_GAR_MSM","Nb de clients ayant retiré résultats MSM","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients ayants retires resultat par groupe a risque","F5zB7yzJWqO","ibnyBHtae6x",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIRES_GAR_TDI","Nb de clients ayant retiré résultats TDI","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients ayants retires resultat par groupe a risque","F5zB7yzJWqO","WRlDiTbkE9A",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIRES_GAR_DET","Nb de clients ayant retiré résultats Détenus","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients ayants retires resultat par groupe a risque","F5zB7yzJWqO","y3uvnibi4CO",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIRES_GAR_AUT","Nb de clients ayant retiré résultats Autres","ToV2hqPjApV","Tableau 7",
"VIH clients Tuberculeux ayants retires resultat","GJmakqsR48k","HllvX50cXC0",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIRES_TUB","Nb de clients ayant retiré résultats Tub","ToV2hqPjApV","Tableau 7",
"VIH nombre de femmes enceintes ayants retires resultat","VJumklkKyCJ","HllvX50cXC0",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIRES_FE","Nb de clients ayant retiré résultats FE","ToV2hqPjApV","Tableau 7",
"VIH autres clients ayants retires leurs resultats","neUYlyao6T1","HllvX50cXC0",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIRES_AUTRES","Nb de clients ayant retiré résultats Autres","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients VIH+ par age","bnrKIGcqvAj","zHmpwMQOfXw",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIPOS_INF15a","Nb des clients séropositifs <15 ans","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients VIH+ par age","bnrKIGcqvAj","SW6oUfrCXJf",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIPOS_1524a","Nb des clients séropositifs 15-24 ans","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients VIH+ par age","bnrKIGcqvAj","fAg8tca9zBe",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIPOS_2549a","Nb des clients séropositifs 25-49 ans","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients VIH+ par age","bnrKIGcqvAj","voZw9xjfGCI",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIPOS_5099a","Nb des clients séropositifs 50 ans et +","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients VIH+ par sexe","w5wNrbVeQxN","Dth2gBj2kEF",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIPOS_SEX_M","Nb des clients séropositifs MSM","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients VIH+ par sexe","w5wNrbVeQxN","sw2ZKOSUaAr",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIPOS_SEX_F","Nb des clients séropositifs FE","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients VIH+ par groupe a resque","Bd2Bs14YJc3","R57o8tE7qzj",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIPOS_GAR_TDS","Nb des clients séropositifs TDS","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients VIH+ par groupe a resque","Bd2Bs14YJc3","CY3DclCwaj6",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIPOS_GAR_PIST","Nb des clients séropositifs Patient IST","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients VIH+ par groupe a resque","Bd2Bs14YJc3","ibnyBHtae6x",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIPOS_GAR_MSM","Nb des clients séropositifs MSM","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients VIH+ par groupe a resque","Bd2Bs14YJc3","WRlDiTbkE9A",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIPOS_GAR_TDI","Nb des clients séropositifs TDI","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients VIH+ par groupe a resque","Bd2Bs14YJc3","y3uvnibi4CO",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIPOS_GAR_DET","Nb des clients séropositifs Détenus","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients VIH+ par groupe a resque","Bd2Bs14YJc3","y3uvnibi4CO",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIPOS_GAR_AUT","Nb des clients séropositifs Autres","ToV2hqPjApV","Tableau 7",
"VIH clients Tuberculeux VIH+","iJOvbUmnDfT","HllvX50cXC0",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIPOS_TUB","Nb des clients séropositifs Tub","ToV2hqPjApV","Tableau 7",
"VIH nombre de femmes enceintes VIH+","U0JkwmdB6go","HllvX50cXC0",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIPOS_FE","Nb des clients séropositifs FE","ToV2hqPjApV","Tableau 7",
"VIH autres clients avec reslutat VIH+","ETpOrt36kGZ","HllvX50cXC0",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIPOS_AUTRES","Nb des clients séropositifs Autres","ToV2hqPjApV","Tableau 7",
"Syphilis nombre nouveau cas ecoulement genital","FLM7aYOawrw","HllvX50cXC0",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cNC_EG","Cas écoulement","ToV2hqPjApV","Tableau 7",
"Syphilis nombre de nouveau cas ecoulement genital depistees syphilis","Xw3eFOENWbm","HllvX50cXC0",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cDEPSYP_EG","Dépistés Syphilis","ToV2hqPjApV","Tableau 7",
"Syphilis nombre de nouveau cas ecoulement genital syphilis positif","h78VqunkiYv","HllvX50cXC0",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cSYPPOS_EG","Syphilis Positif","ToV2hqPjApV","Tableau 7",
"Surveillance nutritionnelle des enfants moins de 5 ans mesures","eXYjyu0ey8I","ShHVz3V8qHk",,,,"tRM_CSB_SURVEILLANCE_NUT","c0005m_ENFMES","0 - 5 mois Enfants mesures","fVhjtnQnFpu","Tableau 8",
"Surveillance nutritionnelle des enfants moins de 5 ans peses","QAfFgIPHa3s","ShHVz3V8qHk",,,,"tRM_CSB_SURVEILLANCE_NUT","c0005m_ENFPES","0 - 5 mois Enfants peses","fVhjtnQnFpu","Tableau 8",
"Surveillance nutritionnelle des enfants moins de 5 ans peses et mesures","D7RcnVq5INU","ShHVz3V8qHk",,,,"tRM_CSB_SURVEILLANCE_NUT","c0005m_ENFPESMES","0 - 5 mois Enfants pesés et mesurés","fVhjtnQnFpu","Tableau 8",
"Surveillance nutritionnelle des enfants moins de 5 ans P/A inf -2ET Insuf pond.","xWYKMcj6CKu","ShHVz3V8qHk",,,,"tRM_CSB_SURVEILLANCE_NUT","c0005m_PA_INFM2ET","0 - 5 mois P/A inf a - 2 ET","fVhjtnQnFpu","Tableau 8",
"Surveillance nutritionnelle des enfants moins de 5 ans P/T inf -3ET Malnut Aigue severe","QuufqC3FcDL","ShHVz3V8qHk",,,,"tRM_CSB_SURVEILLANCE_NUT","c0005m_PT_INFM3ET","0 - 5 mois P/T inf a - 3 ET","fVhjtnQnFpu","Tableau 8",
"Surveillance nutritionnelle des enfants moins de 5 ans P/T sup+2ET Obesite","vmjkA1pq1sX","ShHVz3V8qHk",,,,"tRM_CSB_SURVEILLANCE_NUT","c0005m_PT_SUP2ET","0 - 5 mois P/T sup a + 2 ET","fVhjtnQnFpu","Tableau 8",
"Surveillance nutritionnelle des enfants moins de 5 ans T/A inf -2ET Retard de croissance","xszA8v2QOOX","ShHVz3V8qHk",,,,"tRM_CSB_SURVEILLANCE_NUT","c0005m_TA_INFM2ET","0 - 5 mois T/A inf a - 2 ET","fVhjtnQnFpu","Tableau 8",
"Surveillance nutritionnelle des enfants moins de 5 ans mesures","eXYjyu0ey8I","K7NgMLR8Lnk",,,,"tRM_CSB_SURVEILLANCE_NUT","c0611m_ENFMES","6 - 11 mois Enfants mesures","fVhjtnQnFpu","Tableau 8",
"Surveillance nutritionnelle des enfants moins de 5 ans peses","QAfFgIPHa3s","K7NgMLR8Lnk",,,,"tRM_CSB_SURVEILLANCE_NUT","c0611m_ENFPES","6 - 11 mois Enfants peses","fVhjtnQnFpu","Tableau 8",
"Surveillance nutritionnelle des enfants moins de 5 ans peses et mesures","D7RcnVq5INU","K7NgMLR8Lnk",,,,"tRM_CSB_SURVEILLANCE_NUT","c0611m_ENFPESMES","6 - 11 mois Enfants pesés et mesurés","fVhjtnQnFpu","Tableau 8",
"Surveillance nutritionnelle des enfants moins de 5 ans P/A inf -2ET Insuf pond.","xWYKMcj6CKu","K7NgMLR8Lnk",,,,"tRM_CSB_SURVEILLANCE_NUT","c0611m_PA_INFM2ET","6 - 11 mois P/A inf a - 2 ET","fVhjtnQnFpu","Tableau 8",
"Surveillance nutritionnelle des enfants moins de 5 ans P/T inf -3ET Malnut Aigue severe","QuufqC3FcDL","K7NgMLR8Lnk",,,,"tRM_CSB_SURVEILLANCE_NUT","c0611m_PT_INFM3ET","6 - 11 mois P/T inf a - 3 ET","fVhjtnQnFpu","Tableau 8",
"Surveillance nutritionnelle des enfants moins de 5 ans P/T sup+2ET Obesite","vmjkA1pq1sX","K7NgMLR8Lnk",,,,"tRM_CSB_SURVEILLANCE_NUT","c0611m_PT_SUP2ET","6 - 11 mois P/T sup a + 2 ET","fVhjtnQnFpu","Tableau 8",
"Surveillance nutritionnelle des enfants moins de 5 ans T/A inf -2ET Retard de croissance","xszA8v2QOOX","K7NgMLR8Lnk",,,,"tRM_CSB_SURVEILLANCE_NUT","c0611m_TA_INFM2ET","6 - 11 mois T/A inf a - 2 ET","fVhjtnQnFpu","Tableau 8",
"Prise en Charge CRENAS/CRENAM ADMIS","veCj7xnZiZf","K7NgMLR8Lnk",,,,"tRM_CSB_SURVEILLANCE_NUT","c0611m_ADM","6 - 11 mois Admis","fVhjtnQnFpu","Tableau 8",
"Prise en Charge CRENAS/CRENAM","SMngkTsGugd","Iifh7It08Mp",,,,"tRM_CSB_SURVEILLANCE_NUT","c0611m_GUERIS","6 - 11 mois Gueris","fVhjtnQnFpu","Tableau 8",
"Prise en Charge CRENAS/CRENAM","SMngkTsGugd","cN6Hcxaxa0X",,,,"tRM_CSB_SURVEILLANCE_NUT","c0611m_DCD","6 - 11 mois Decedes","fVhjtnQnFpu","Tableau 8",
"Prise en Charge CRENAS/CRENAM","SMngkTsGugd","uVZTv42Tr8e",,,,"tRM_CSB_SURVEILLANCE_NUT","c0611m_ABD","6 - 11 mois Abandons","fVhjtnQnFpu","Tableau 8",
"Prise en Charge CRENAS/CRENAM","SMngkTsGugd","tkMpXyne9B3",,,,"tRM_CSB_SURVEILLANCE_NUT","c0611m_AUTSOR","6 - 11 mois Autres sorties","fVhjtnQnFpu","Tableau 8",
"Surveillance nutritionnelle des enfants moins de 5 ans mesures","eXYjyu0ey8I","x99swkdoGur",,,,"tRM_CSB_SURVEILLANCE_NUT","c1223m_ENFMES","12 - 23 mois Enfants mesures","fVhjtnQnFpu","Tableau 8",
"Surveillance nutritionnelle des enfants moins de 5 ans peses","QAfFgIPHa3s","x99swkdoGur",,,,"tRM_CSB_SURVEILLANCE_NUT","c1223m_ENFPES","12 - 23 mois Enfants peses","fVhjtnQnFpu","Tableau 8",
"Surveillance nutritionnelle des enfants moins de 5 ans peses et mesures","D7RcnVq5INU","x99swkdoGur",,,,"tRM_CSB_SURVEILLANCE_NUT","c1223m_ENFPESMES","12 - 23 mois Enfants pesés et mesurés","fVhjtnQnFpu","Tableau 8",
"Surveillance nutritionnelle des enfants moins de 5 ans P/A inf -2ET Insuf pond.","xWYKMcj6CKu","x99swkdoGur",,,,"tRM_CSB_SURVEILLANCE_NUT","c1223m_PA_INFM2ET","12 - 23 mois P/A inf a - 2 ET","fVhjtnQnFpu","Tableau 8",
"Surveillance nutritionnelle des enfants moins de 5 ans P/T inf -3ET Malnut Aigue severe","QuufqC3FcDL","x99swkdoGur",,,,"tRM_CSB_SURVEILLANCE_NUT","c1223m_PT_INFM3ET","12 - 23 mois P/T inf a - 3 ET","fVhjtnQnFpu","Tableau 8",
"Surveillance nutritionnelle des enfants moins de 5 ans P/T sup+2ET Obesite","vmjkA1pq1sX","x99swkdoGur",,,,"tRM_CSB_SURVEILLANCE_NUT","c1223m_PT_SUP2ET","12 - 23 mois P/T sup a + 2 ET","fVhjtnQnFpu","Tableau 8",
"Surveillance nutritionnelle des enfants moins de 5 ans T/A inf -2ET Retard de croissance","xszA8v2QOOX","x99swkdoGur",,,,"tRM_CSB_SURVEILLANCE_NUT","c1223m_TA_INFM2ET","12 - 23 mois T/A inf a - 2 ET","fVhjtnQnFpu","Tableau 8",
"Prise en Charge CRENAS/CRENAM ADMIS","veCj7xnZiZf","x99swkdoGur",,,,"tRM_CSB_SURVEILLANCE_NUT","c1223m_ADM","12 - 23 mois Admis","fVhjtnQnFpu","Tableau 8",
"Prise en Charge CRENAS/CRENAM","SMngkTsGugd","c0v4VW2DVhI",,,,"tRM_CSB_SURVEILLANCE_NUT","c1223m_GUERIS","12 - 23 mois Gueris","fVhjtnQnFpu","Tableau 8",
"Prise en Charge CRENAS/CRENAM","SMngkTsGugd","kdeTY5uNEAV",,,,"tRM_CSB_SURVEILLANCE_NUT","c1223m_DCD","12 - 23 mois Decedes","fVhjtnQnFpu","Tableau 8",
"Prise en Charge CRENAS/CRENAM","SMngkTsGugd","wnv01j5ftXA",,,,"tRM_CSB_SURVEILLANCE_NUT","c1223m_ABD","12 - 23 mois Abandons","fVhjtnQnFpu","Tableau 8",
"Prise en Charge CRENAS/CRENAM","SMngkTsGugd","NVv92DJzfvx",,,,"tRM_CSB_SURVEILLANCE_NUT","c1223m_AUTSOR","12 - 23 mois Autres sorties","fVhjtnQnFpu","Tableau 8",
"Surveillance nutritionnelle des enfants moins de 5 ans mesures","eXYjyu0ey8I","BKmZEpbxBfd",,,,"tRM_CSB_SURVEILLANCE_NUT","c2459m_ENFMES","24 - 59 mois Enfants mesures","fVhjtnQnFpu","Tableau 8",
"Surveillance nutritionnelle des enfants moins de 5 ans peses","QAfFgIPHa3s","BKmZEpbxBfd",,,,"tRM_CSB_SURVEILLANCE_NUT","c2459m_ENFPES","24 - 59 mois Enfants peses","fVhjtnQnFpu","Tableau 8",
"Surveillance nutritionnelle des enfants moins de 5 ans peses et mesures","D7RcnVq5INU","BKmZEpbxBfd",,,,"tRM_CSB_SURVEILLANCE_NUT","c2459m_ENFPESMES","24 - 59mois Enfants pesés et mesurés","fVhjtnQnFpu","Tableau 8",
"Surveillance nutritionnelle des enfants moins de 5 ans P/A inf -2ET Insuf pond.","xWYKMcj6CKu","BKmZEpbxBfd",,,,"tRM_CSB_SURVEILLANCE_NUT","c2459m_PA_INFM2ET","24 - 59 mois P/A inf a - 2 ET","fVhjtnQnFpu","Tableau 8",
"Surveillance nutritionnelle des enfants moins de 5 ans P/T inf -3ET Malnut Aigue severe","QuufqC3FcDL","BKmZEpbxBfd",,,,"tRM_CSB_SURVEILLANCE_NUT","c2459m_PT_INFM3ET","24 - 59 mois P/T inf a - 3 ET","fVhjtnQnFpu","Tableau 8",
"Surveillance nutritionnelle des enfants moins de 5 ans P/T sup+2ET Obesite","vmjkA1pq1sX","BKmZEpbxBfd",,,,"tRM_CSB_SURVEILLANCE_NUT","c2459m_PT_SUP2ET","24 - 59 mois P/T sup a + 2 ET","fVhjtnQnFpu","Tableau 8",
"Surveillance nutritionnelle des enfants moins de 5 ans T/A inf -2ET Retard de croissance","xszA8v2QOOX","BKmZEpbxBfd",,,,"tRM_CSB_SURVEILLANCE_NUT","c2459m_TA_INFM2ET","24 - 59 mois T/A inf a - 2 ET","fVhjtnQnFpu","Tableau 8",
