"Label","DataElementUId","CoCUid","AccessDatabaseFile","AccessDBTable","Code","AccessDBColumn","AccessColumnDescription ( ","DataSetUid","Tab RMA DHIS2"
"T4:- Toux ou Rhume = 60 ans, Masculin","KcKDEGA2MKv","MjUuIFTQpp4",,"tRM_CSB_Cons_Ext","TXRH","c$_6099a_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Toux ou Rhume = 60 ans, Feminin","KcKDEGA2MKv","xUki4Ryejao",,"tRM_CSB_Cons_Ext","TXRH","c$_6099a_F",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas de Toux ou rhume en  Referes CSB Homme","TsJdvM35EkU","Dth2gBj2kEF",,"tRM_CSB_Cons_Ext","TXRH","c$_REF_M",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas de Toux ou rhume en  Referes CSB Femme","TsJdvM35EkU","sw2ZKOSUaAr",,"tRM_CSB_Cons_Ext","TXRH","c$_REF_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Pneumonie 0 –  28j, Masculin","UoRio6qeEnn","HIsTqXVmDdV",,"tRM_CSB_Cons_Ext","PNEU","c$_0028j_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Pneumonie 0 –  28j, Feminin","UoRio6qeEnn","TJlRzxBqiqG",,"tRM_CSB_Cons_Ext","PNEU","c$_0028j_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Pneumonie 29j – 11mois, Masculin","UoRio6qeEnn","GKRrbxnOIsR",,"tRM_CSB_Cons_Ext","PNEU","c$_2911m_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Pneumonie 29j – 11mois, Feminin","UoRio6qeEnn","AbwRHg1G63d",,"tRM_CSB_Cons_Ext","PNEU","c$_2911m_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Pneumonie 1– 4 ans, Masculin","UoRio6qeEnn","lwrX7wJqjhW",,"tRM_CSB_Cons_Ext","PNEU","c$_0104a_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Pneumonie 1– 4 ans, Feminin","UoRio6qeEnn","DSaVQguA6v6",,"tRM_CSB_Cons_Ext","PNEU","c$_0104a_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Pneumonie 5 – 14 ans, Masculin","UoRio6qeEnn","PKSyh4Sf2Qj",,"tRM_CSB_Cons_Ext","PNEU","c$_0514a_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Pneumonie 5 – 14 ans, Feminin","UoRio6qeEnn","CT4zoD5VubM",,"tRM_CSB_Cons_Ext","PNEU","c$_0514a_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Pneumonie 15 –  24 ans, Masculin","UoRio6qeEnn","WzP73hslJ7o",,"tRM_CSB_Cons_Ext","PNEU","c$_1524a_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Pneumonie 15 –  24 ans, Feminin","UoRio6qeEnn","BI6jaLq1VFQ",,"tRM_CSB_Cons_Ext","PNEU","c$_1524a_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Pneumonie 25 – 59 ans, Masculin","UoRio6qeEnn","o43czi6vmWy",,"tRM_CSB_Cons_Ext","PNEU","c$_2559a_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Pneumonie 25 – 59 ans, Feminin","UoRio6qeEnn","Nd7vAyFaB7l",,"tRM_CSB_Cons_Ext","PNEU","c$_2559a_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Pneumonie = 60 ans, Masculin","UoRio6qeEnn","MjUuIFTQpp4",,"tRM_CSB_Cons_Ext","PNEU","c$_6099a_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Pneumonie = 60 ans, Feminin","UoRio6qeEnn","xUki4Ryejao",,"tRM_CSB_Cons_Ext","PNEU","c$_6099a_F",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas de Pneumonie diagnostique en Referes CSB Homme","SEAmrCj6for","Dth2gBj2kEF",,"tRM_CSB_Cons_Ext","PNEU","c$_REF_M",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas de Pneumonie diagnostique en Referes CSB Femme","SEAmrCj6for","sw2ZKOSUaAr",,"tRM_CSB_Cons_Ext","PNEU","c$_REF_F",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas des Autres IRA en  CSB 0 –  28j, Masculin","PCxW7nT4hEU","HIsTqXVmDdV",,"tRM_CSB_Cons_Ext","AUTIRA","c$_0028j_M",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas des Autres IRA en  CSB 0 –  28j, Feminin","PCxW7nT4hEU","TJlRzxBqiqG",,"tRM_CSB_Cons_Ext","AUTIRA","c$_0028j_F",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas des Autres IRA en  CSB 29j – 11mois, Masculin","PCxW7nT4hEU","GKRrbxnOIsR",,"tRM_CSB_Cons_Ext","AUTIRA","c$_2911m_M",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas des Autres IRA en  CSB 29j – 11mois, Feminin","PCxW7nT4hEU","AbwRHg1G63d",,"tRM_CSB_Cons_Ext","AUTIRA","c$_2911m_F",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas des Autres IRA en  CSB 1– 4 ans, Masculin","PCxW7nT4hEU","lwrX7wJqjhW",,"tRM_CSB_Cons_Ext","AUTIRA","c$_0104a_M",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas des Autres IRA en  CSB 1– 4 ans, Feminin","PCxW7nT4hEU","DSaVQguA6v6",,"tRM_CSB_Cons_Ext","AUTIRA","c$_0104a_F",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas des Autres IRA en  CSB 5 – 14 ans, Masculin","PCxW7nT4hEU","PKSyh4Sf2Qj",,"tRM_CSB_Cons_Ext","AUTIRA","c$_0514a_M",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas des Autres IRA en  CSB 5 – 14 ans, Feminin","PCxW7nT4hEU","CT4zoD5VubM",,"tRM_CSB_Cons_Ext","AUTIRA","c$_0514a_F",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas des Autres IRA en  CSB 15 –  24 ans, Masculin","PCxW7nT4hEU","WzP73hslJ7o",,"tRM_CSB_Cons_Ext","AUTIRA","c$_1524a_M",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas des Autres IRA en  CSB 15 –  24 ans, Feminin","PCxW7nT4hEU","BI6jaLq1VFQ",,"tRM_CSB_Cons_Ext","AUTIRA","c$_1524a_F",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas des Autres IRA en  CSB 25 – 59 ans, Masculin","PCxW7nT4hEU","o43czi6vmWy",,"tRM_CSB_Cons_Ext","AUTIRA","c$_2559a_M",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas des Autres IRA en  CSB 25 – 59 ans, Feminin","PCxW7nT4hEU","Nd7vAyFaB7l",,"tRM_CSB_Cons_Ext","AUTIRA","c$_2559a_F",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas des Autres IRA en  CSB = 60 ans, Masculin","PCxW7nT4hEU","MjUuIFTQpp4",,"tRM_CSB_Cons_Ext","AUTIRA","c$_6099a_M",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas des Autres IRA en  CSB = 60 ans, Feminin","PCxW7nT4hEU","xUki4Ryejao",,"tRM_CSB_Cons_Ext","AUTIRA","c$_6099a_F",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas des Autres IRA en Referes CSB Homme","n9gn75XYq9q","Dth2gBj2kEF",,"tRM_CSB_Cons_Ext","AUTIRA","c$_REF_M",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas des Autres IRA en Referes CSB Femme","n9gn75XYq9q","sw2ZKOSUaAr",,"tRM_CSB_Cons_Ext","AUTIRA","c$_REF_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Asthme 0 –  28j, Masculin","rVCYQMFkfj2","HIsTqXVmDdV",,"tRM_CSB_Cons_Ext","ASTH","c$_0028j_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Asthme 0 –  28j, Feminin","rVCYQMFkfj2","TJlRzxBqiqG",,"tRM_CSB_Cons_Ext","ASTH","c$_0028j_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Asthme 29j – 11mois, Masculin","rVCYQMFkfj2","GKRrbxnOIsR",,"tRM_CSB_Cons_Ext","ASTH","c$_2911m_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Asthme 29j – 11mois, Feminin","rVCYQMFkfj2","AbwRHg1G63d",,"tRM_CSB_Cons_Ext","ASTH","c$_2911m_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Asthme 1– 4 ans, Masculin","rVCYQMFkfj2","lwrX7wJqjhW",,"tRM_CSB_Cons_Ext","ASTH","c$_0104a_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Asthme 1– 4 ans, Feminin","rVCYQMFkfj2","DSaVQguA6v6",,"tRM_CSB_Cons_Ext","ASTH","c$_0104a_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Asthme 5 – 14 ans, Masculin","rVCYQMFkfj2","PKSyh4Sf2Qj",,"tRM_CSB_Cons_Ext","ASTH","c$_0514a_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Asthme 5 – 14 ans, Feminin","rVCYQMFkfj2","CT4zoD5VubM",,"tRM_CSB_Cons_Ext","ASTH","c$_0514a_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Asthme 15 –  24 ans, Masculin","rVCYQMFkfj2","WzP73hslJ7o",,"tRM_CSB_Cons_Ext","ASTH","c$_1524a_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Asthme 15 –  24 ans, Feminin","rVCYQMFkfj2","BI6jaLq1VFQ",,"tRM_CSB_Cons_Ext","ASTH","c$_1524a_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Asthme 25 – 59 ans, Masculin","rVCYQMFkfj2","o43czi6vmWy",,"tRM_CSB_Cons_Ext","ASTH","c$_2559a_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Asthme 25 – 59 ans, Feminin","rVCYQMFkfj2","Nd7vAyFaB7l",,"tRM_CSB_Cons_Ext","ASTH","c$_2559a_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Asthme = 60 ans, Masculin","rVCYQMFkfj2","MjUuIFTQpp4",,"tRM_CSB_Cons_Ext","ASTH
","c$_6099a_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Asthme = 60 ans, Feminin","rVCYQMFkfj2","xUki4Ryejao",,"tRM_CSB_Cons_Ext","ASTH","c$_6099a_F",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe /Nouveaux cas d' Asthme en Referes CSB Homme","g4bD1Yfekm1","Dth2gBj2kEF",,"tRM_CSB_Cons_Ext","ASTH","c$_REF_M",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe /Nouveaux cas d' Asthme en Referes CSB Femme","g4bD1Yfekm1","sw2ZKOSUaAr",,"tRM_CSB_Cons_Ext","ASTH","c$_REF_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Diphtérie 0 –  28j, Masculin","XUv2YsS0HBx","HIsTqXVmDdV",,"tRM_CSB_Cons_Ext","DIPHT","c$_0028j_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Diphtérie 0 –  28j, Feminin","XUv2YsS0HBx","TJlRzxBqiqG",,"tRM_CSB_Cons_Ext","DIPHT","c$_0028j_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Diphtérie 29j – 11mois, Masculin","XUv2YsS0HBx","GKRrbxnOIsR",,"tRM_CSB_Cons_Ext","DIPHT","c$_2911m_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Diphtérie 29j – 11mois, Feminin","XUv2YsS0HBx","AbwRHg1G63d",,"tRM_CSB_Cons_Ext","DIPHT","c$_2911m_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Diphtérie 1– 4 ans, Masculin","XUv2YsS0HBx","lwrX7wJqjhW",,"tRM_CSB_Cons_Ext","DIPHT","c$_0104a_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Diphtérie 1– 4 ans, Feminin","XUv2YsS0HBx","DSaVQguA6v6",,"tRM_CSB_Cons_Ext","DIPHT","c$_0104a_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Diphtérie 5 – 14 ans, Masculin","XUv2YsS0HBx","PKSyh4Sf2Qj",,"tRM_CSB_Cons_Ext","DIPHT","c$_0514a_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Diphtérie 5 – 14 ans, Feminin","XUv2YsS0HBx","CT4zoD5VubM",,"tRM_CSB_Cons_Ext","DIPHT","c$_0514a_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Diphtérie 15 –  24 ans, Masculin","XUv2YsS0HBx","WzP73hslJ7o",,"tRM_CSB_Cons_Ext","DIPHT","c$_1524a_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Diphtérie 15 –  24 ans, Feminin","XUv2YsS0HBx","BI6jaLq1VFQ",,"tRM_CSB_Cons_Ext","DIPHT","c$_1524a_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Diphtérie 25 – 59 ans, Masculin","XUv2YsS0HBx","o43czi6vmWy",,"tRM_CSB_Cons_Ext","DIPHT","c$_2559a_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Diphtérie 25 – 59 ans, Feminin","XUv2YsS0HBx","Nd7vAyFaB7l",,"tRM_CSB_Cons_Ext","DIPHT","c$_2559a_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Diphtérie = 60 ans, Masculin","XUv2YsS0HBx","MjUuIFTQpp4",,"tRM_CSB_Cons_Ext","DIPHT","c$_6099a_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Diphtérie = 60 ans, Feminin","XUv2YsS0HBx","xUki4Ryejao",,"tRM_CSB_Cons_Ext","DIPHT","c$_6099a_F",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas de Diphterie en  Referes CSB Homme","lGq0O54MoEe","Dth2gBj2kEF",,"tRM_CSB_Cons_Ext","DIPHT","c$_REF_M",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas de Diphterie en  Referes CSB Femme","lGq0O54MoEe","sw2ZKOSUaAr",,"tRM_CSB_Cons_Ext","DIPHT","c$_REF_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Coqueluche 0 –  28j, Masculin","oIFkoUFP3zl","HIsTqXVmDdV",,"tRM_CSB_Cons_Ext","COQ","c$_0028j_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Coqueluche 0 –  28j, Feminin","oIFkoUFP3zl","TJlRzxBqiqG",,"tRM_CSB_Cons_Ext","COQ","c$_0028j_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Coqueluche 29j – 11mois, Masculin","oIFkoUFP3zl","GKRrbxnOIsR",,"tRM_CSB_Cons_Ext","COQ","c$_2911m_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Coqueluche 29j – 11mois, Feminin","oIFkoUFP3zl","AbwRHg1G63d",,"tRM_CSB_Cons_Ext","COQ","c$_2911m_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Coqueluche 1– 4 ans, Masculin","oIFkoUFP3zl","lwrX7wJqjhW",,"tRM_CSB_Cons_Ext","COQ","c$_0104a_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Coqueluche 1– 4 ans, Feminin","oIFkoUFP3zl","DSaVQguA6v6",,"tRM_CSB_Cons_Ext","COQ","c$_0104a_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Coqueluche 5 – 14 ans, Masculin","oIFkoUFP3zl","PKSyh4Sf2Qj",,"tRM_CSB_Cons_Ext","COQ","c$_0514a_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Coqueluche 5 – 14 ans, Feminin","oIFkoUFP3zl","CT4zoD5VubM",,"tRM_CSB_Cons_Ext","COQ","c$_0514a_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Coqueluche 15 –  24 ans, Masculin","oIFkoUFP3zl","WzP73hslJ7o",,"tRM_CSB_Cons_Ext","COQ","c$_1524a_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Coqueluche 15 –  24 ans, Feminin","oIFkoUFP3zl","BI6jaLq1VFQ",,"tRM_CSB_Cons_Ext","COQ","c$_1524a_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Coqueluche 25 – 59 ans, Masculin","oIFkoUFP3zl","o43czi6vmWy",,"tRM_CSB_Cons_Ext","COQ","c$_2559a_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Coqueluche 25 – 59 ans, Feminin","oIFkoUFP3zl","Nd7vAyFaB7l",,"tRM_CSB_Cons_Ext","COQ","c$_2559a_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Coqueluche = 60 ans, Masculin","oIFkoUFP3zl","MjUuIFTQpp4",,"tRM_CSB_Cons_Ext","COQ","c$_6099a_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Coqueluche = 60 ans, Feminin","oIFkoUFP3zl","xUki4Ryejao",,"tRM_CSB_Cons_Ext","COQ","c$_6099a_F",,"GSUZkSLVfZy","Tableau 3"
"consultation externe/Nouveaux cas de Coqueluche en Referes CSB Homme","RUzSVoFxoxe","Dth2gBj2kEF",,"tRM_CSB_Cons_Ext","COQ","c$_REF_M",,"GSUZkSLVfZy","Tableau 3"
"consultation externe/Nouveaux cas de Coqueluche en Referes CSB Femme","RUzSVoFxoxe","sw2ZKOSUaAr",,"tRM_CSB_Cons_Ext","COQ","c$_REF_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Tétanos 0 –  28j, Masculin","H4IvJQDzXMV","HIsTqXVmDdV",,"tRM_CSB_Cons_Ext","TETA","c$_0028j_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Tétanos 0 –  28j, Feminin","H4IvJQDzXMV","TJlRzxBqiqG",,"tRM_CSB_Cons_Ext","TETA","c$_0028j_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Tétanos 29j – 11mois, Masculin","H4IvJQDzXMV","GKRrbxnOIsR",,"tRM_CSB_Cons_Ext","TETA","c$_2911m_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Tétanos 29j – 11mois, Feminin","H4IvJQDzXMV","AbwRHg1G63d",,"tRM_CSB_Cons_Ext","TETA","c$_2911m_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Tétanos 1– 4 ans, Masculin","H4IvJQDzXMV","lwrX7wJqjhW",,"tRM_CSB_Cons_Ext","TETA","c$_0104a_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Tétanos 1– 4 ans, Feminin","H4IvJQDzXMV","DSaVQguA6v6",,"tRM_CSB_Cons_Ext","TETA","c$_0104a_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Tétanos 5 – 14 ans, Masculin","H4IvJQDzXMV","PKSyh4Sf2Qj",,"tRM_CSB_Cons_Ext","TETA","c$_0514a_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Tétanos 5 – 14 ans, Feminin","H4IvJQDzXMV","CT4zoD5VubM",,"tRM_CSB_Cons_Ext","TETA","c$_0514a_F",,"GSUZkSLVfZy","Tableau 3"
