cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,cType,cCode,c$_0028j_M,c$_0028j_F,c$_2911m_M,c$_2911m_F,c$_0104a_M,c$_0104a_F,c$_0514a_M,c$_0514a_F,c$_1524a_M,c$_1524a_F,c$_2559a_M,c$_2559a_F,c$_6099a_M,c$_6099a_F,c$_REF_M,c$_REF_F,c$_Tot_M,c$_Tot_F,c$_Tot_NC
2017,220308,220342018,01,21,60,SUSPROUG,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,01,21,60,TETA,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,01,21,60,TIAC,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,01,21,60,TROUMENT,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,01,21,60,TUBCONF,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,01,21,60,TXRH,,,,,1,2,4,4,,,7,2,,,,,12,8,20
2017,220308,220342018,01,21,60,TXSUSPTUB,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,01,21,60,UG,,,,,,,,,1,1,1,,,,,,2,1,3
2017,220308,220341011,01,21,60,ANEMGRAV,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,ANEMIE,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,ASTH,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,AUTEPID,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,AUTFH,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,AUTIRA,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,AUTRESNC,1,1,6,2,5,3,3,4,1,15,5,6,3,1,,,24,32,56
2017,220308,220341011,01,21,60,AVC,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,CARIES,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,COQ,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,DEFAUD,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,DEFVISU,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,DIAR,1,1,8,,4,2,,1,1,,,,,,,,14,4,18
2017,220308,220341011,01,21,60,DIPHT,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,EG,,,,,,,,,1,2,1,,,,,,2,2,4
2017,220308,220341011,01,21,60,EPIL,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,HTA,,,,,,,,,,,,,,1,,,0,1,1
2017,220308,220341011,01,21,60,HYDROC,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,ICAM,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,INFVIH,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,INSUFPOND,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,LESKCCOL,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,LMB,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,LMBDEG2,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,LPB,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,LPBDEG2,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,LYMPH,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,MAS,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,MFEBTcc,,,5,8,5,10,,2,1,3,,2,1,,,,12,25,37
2017,220308,220341011,01,21,60,MORGRIASC,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,OBESITE,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,OEILRNTNC,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,OEILRT,,,,,1,,,,,,,,,,,,1,0,1
2017,220308,220341011,01,21,60,OTITE,,,,1,,,,,,,,,,,,,0,1,1
2017,220308,220341011,01,21,60,PALU_FE,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,PALU_G,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,PALU_S,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,PESTE,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,PFA,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,PNEU,,,,,,1,,,,,,,,,,,0,1,1
2017,220308,220341011,01,21,60,RETCROIS,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,SGDANG,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,SUSPARBO,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,SUSPCATA,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,SUSPDIAB,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,SUSPDREPA,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,SUSPFVR,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,SUSPGRIP,,,5,11,5,12,1,1,1,,2,1,1,,,,15,25,40
2017,220308,220341011,01,21,60,SUSPMENING,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,SUSPROUG,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,TETA,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,TIAC,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,TROUMENT,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,TUBCONF,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,TXRH,1,,,1,,,1,1,,,,,,,,,2,2,4
2017,220308,220341011,01,21,60,TXSUSPTUB,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,01,21,60,UG,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,ANEMGRAV,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,ANEMIE,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,ASTH,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,AUTEPID,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,AUTFH,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,AUTIRA,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,AUTRESNC,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,AVC,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,CARIES,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,COQ,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,DEFAUD,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,DEFVISU,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,DIAR,,,,,2,,6,1,,2,1,,,,,,9,3,12
2017,220308,220342018,02,21,60,DIPHT,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,EG,,,,,,,,,7,12,8,8,,,,,15,20,35
2017,220308,220342018,02,21,60,EPIL,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,HTA,,,,,,,,,,,5,1,,,,,5,1,6
2017,220308,220342018,02,21,60,HYDROC,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,ICAM,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,INFVIH,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,INSUFPOND,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,LESKCCOL,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,LMB,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,LMBDEG2,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,LPB,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,LPBDEG2,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,LYMPH,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,MAS,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,MFEBTcc,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,MORGRIASC,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,OBESITE,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,OEILRNTNC,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,OEILRT,,,,,,,2,,,,,,,,,,2,0,2
2017,220308,220342018,02,21,60,OTITE,,,,,,,2,2,,1,3,,,,,,5,3,8
2017,220308,220342018,02,21,60,PALU_FE,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,PALU_G,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,PALU_S,,,,,1,,,1,,,1,,,,,,2,1,3
2017,220308,220342018,02,21,60,PESTE,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,PFA,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,PNEU,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,RETCROIS,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,SGDANG,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,SUSPARBO,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,SUSPCATA,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,SUSPDIAB,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,SUSPDREPA,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,SUSPFVR,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,SUSPGRIP,,,,,,6,5,,9,4,7,2,,,,,21,12,33
2017,220308,220342018,02,21,60,SUSPMENING,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,SUSPROUG,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,TETA,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,TIAC,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,TROUMENT,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,TUBCONF,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,TXRH,,,1,,5,4,4,1,1,2,3,3,,,,,14,10,24
2017,220308,220342018,02,21,60,TXSUSPTUB,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,02,21,60,UG,,,,,,,,,2,,1,,,,,,3,0,3
2017,220308,220341011,02,21,60,ANEMGRAV,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,ANEMIE,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,ASTH,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,AUTEPID,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,AUTFH,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,AUTIRA,,,2,,3,2,4,2,,,1,1,,,,,10,5,15
2017,220308,220341011,02,21,60,AUTRESNC,,,3,4,8,8,1,11,4,17,4,14,2,,,,22,54,76
2017,220308,220341011,02,21,60,AVC,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,CARIES,,,,,,,3,1,4,2,1,2,,,,,8,5,13
2017,220308,220341011,02,21,60,COQ,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,DEFAUD,,,,,,,,,,,2,2,1,,,,3,2,5
2017,220308,220341011,02,21,60,DEFVISU,,,,,,,,,,,1,1,2,1,,,3,2,5
2017,220308,220341011,02,21,60,DIAR,,,3,1,4,,1,,,,,3,1,1,,,9,5,14
2017,220308,220341011,02,21,60,DIPHT,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,EG,,,,,,,,5,2,1,5,,,,,,7,6,13
2017,220308,220341011,02,21,60,EPIL,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,HTA,,,,,,,,,,,2,3,,1,,,2,4,6
2017,220308,220341011,02,21,60,HYDROC,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,ICAM,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,INFVIH,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,INSUFPOND,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,LESKCCOL,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,LMB,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,LMBDEG2,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,LPB,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,LPBDEG2,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,LYMPH,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,MAS,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,MFEBTcc,1,,4,3,7,6,3,7,3,6,1,2,1,,,,20,24,44
2017,220308,220341011,02,21,60,MORGRIASC,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,OBESITE,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,OEILRNTNC,,,,,,1,,1,,,,,,,,,0,2,2
2017,220308,220341011,02,21,60,OEILRT,,,,,,,1,,1,,1,2,,,,,3,2,5
2017,220308,220341011,02,21,60,OTITE,,,,1,,,1,,2,,,1,,,,,3,2,5
2017,220308,220341011,02,21,60,PALU_FE,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,PALU_G,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,PALU_S,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,PESTE,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,PFA,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,PNEU,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,RETCROIS,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,SGDANG,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,SUSPARBO,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,SUSPCATA,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,SUSPDIAB,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,SUSPDREPA,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,SUSPFVR,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,SUSPGRIP,,,4,2,8,3,,1,,2,,,,,,,12,8,20
2017,220308,220341011,02,21,60,SUSPMENING,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,SUSPROUG,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,TETA,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,TIAC,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,TROUMENT,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,TUBCONF,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,TXRH,,,,,,,2,,2,,,1,,,,,4,1,5
2017,220308,220341011,02,21,60,TXSUSPTUB,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,02,21,60,UG,,,,,,,,3,2,1,1,,,,,,3,4,7
2017,220308,220341011,03,21,60,ANEMGRAV,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,ANEMIE,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,ASTH,,,,,1,,2,,,2,,1,,,,,3,3,6
2017,220308,220341011,03,21,60,AUTEPID,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,AUTFH,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,AUTIRA,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,AUTRESNC,,,3,2,6,5,1,1,3,9,2,7,2,3,,,17,27,44
2017,220308,220341011,03,21,60,AVC,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,CARIES,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,COQ,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,DEFAUD,,,,,,,,,,,2,,,,,,2,0,2
2017,220308,220341011,03,21,60,DEFVISU,,,,,,,,,,1,,2,,,,,0,3,3
2017,220308,220341011,03,21,60,DIAR,,,2,1,2,1,,1,,2,,,,,,,4,5,9
2017,220308,220341011,03,21,60,DIPHT,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,EG,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,EPIL,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,HTA,,,,,,,,,3,1,2,2,,,,,5,3,8
2017,220308,220341011,03,21,60,HYDROC,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,ICAM,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,INFVIH,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,INSUFPOND,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,LESKCCOL,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,LMB,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,LMBDEG2,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,LPB,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,LPBDEG2,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,LYMPH,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,MAS,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,MFEBTcc,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,MORGRIASC,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,OBESITE,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,OEILRNTNC,,1,,,,,1,,,,,,,,,,1,1,2
2017,220308,220341011,03,21,60,OEILRT,,,,,,,,,,1,1,,,,,,1,1,2
2017,220308,220341011,03,21,60,OTITE,,,1,1,,2,1,,,1,,,,,,,2,4,6
2017,220308,220341011,03,21,60,PALU_FE,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,PALU_G,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,PALU_S,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,PESTE,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,PFA,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,PNEU,,,,,,,,1,,,,,,,,,0,1,1
2017,220308,220341011,03,21,60,RETCROIS,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,SGDANG,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,SUSPARBO,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,SUSPCATA,,,,,,,1,,1,,,,,,,,2,0,2
2017,220308,220341011,03,21,60,SUSPDIAB,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,SUSPDREPA,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,SUSPFVR,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,SUSPGRIP,,,2,2,2,2,,1,,,,1,1,,,,5,6,11
2017,220308,220341011,03,21,60,SUSPMENING,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,SUSPROUG,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,TETA,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,TIAC,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,TROUMENT,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,TUBCONF,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,TXRH,,,2,1,3,2,,1,,,,,1,,,,6,4,10
2017,220308,220341011,03,21,60,TXSUSPTUB,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220341011,03,21,60,UG,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,03,21,60,ANEMGRAV,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,03,21,60,ANEMIE,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,03,21,60,ASTH,,,,,2,,1,,,1,,,,,,,3,1,4
2017,220308,220342018,03,21,60,AUTEPID,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,03,21,60,AUTFH,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,03,21,60,AUTIRA,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,03,21,60,AUTRESNC,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,03,21,60,AVC,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,03,21,60,CARIES,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,03,21,60,COQ,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,03,21,60,DEFAUD,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,03,21,60,DEFVISU,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,03,21,60,DIAR,,,,1,6,7,4,,,,1,4,,,,,11,12,23
2017,220308,220342018,03,21,60,DIPHT,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,03,21,60,EG,,,,,,,1,,8,5,8,10,,,,,17,15,32
